time,freq_bins
0.0064,0.0
0.0092,78.125
0.012,156.25
0.0148,234.375
0.0176,312.5
0.0204,390.625
0.0232,468.75
0.026,546.875
0.0288,625.0
0.0316,703.125
0.0344,781.25
0.0372,859.375
0.04,937.5
0.0428,1015.625
0.0456,1093.75
0.0484,1171.875
0.0512,1250.0
0.054,1328.125
0.0568,1406.25
0.0596,1484.375
0.0624,1562.5
0.0652,1640.625
0.068,1718.75
0.0708,1796.875
0.0736,1875.0
0.0764,1953.125
0.0792,2031.25
0.082,2109.375
0.0848,2187.5
0.0876,2265.625
0.0904,2343.75
0.0932,2421.875
,2500.0
,2578.125
,2656.25
,2734.375
,2812.5
,2890.625
,2968.75
,3046.875
,3125.0
,3203.125
,3281.25
,3359.375
,3437.5
,3515.625
,3593.75
,3671.875
,3750.0
,3828.125
,3906.25
,3984.375
,4062.5
,4140.625
,4218.75
,4296.875
,4375.0
,4453.125
,4531.25
,4609.375
,4687.5
,4765.625
,4843.75
,4921.875
,5000.0
,5078.125
,5156.25
,5234.375
,5312.5
,5390.625
,5468.75
,5546.875
,5625.0
,5703.125
,5781.25
,5859.375
,5937.5
,6015.625
,6093.75
,6171.875
,6250.0
,6328.125
,6406.25
,6484.375
,6562.5
,6640.625
,6718.75
,6796.875
,6875.0
,6953.125
,7031.25
,7109.375
,7187.5
,7265.625
,7343.75
,7421.875
,7500.0
,7578.125
,7656.25
,7734.375
,7812.5
,7890.625
,7968.75
,8046.875
,8125.0
,8203.125
,8281.25
,8359.375
,8437.5
,8515.625
,8593.75
,8671.875
,8750.0
,8828.125
,8906.25
,8984.375
,9062.5
,9140.625
,9218.75
,9296.875
,9375.0
,9453.125
,9531.25
,9609.375
,9687.5
,9765.625
,9843.75
,9921.875
,10000.0
